format,file_size_original,file_size_compressed,psnr,ssim,mse,rmse,uqi,sam,vifp,brisque,laplacian_var,vein_contrast,vein_ssim,frangi_similarity,lbp_similarity,wavelet_energy
JPEG,53759,3931,37.790542008309856,0.9318943877486151,10.814990942028986,3.288615353310415,0.9414192625582508,0.03262084675239576,0.5623015086536988,72.40814627334086,100.36325259404981,-1.171638497015262,0.9318943877486151,0.997623974890295,0.6419483129528986,0.9526606433074689
JPEG2000,53759,3932,43.98768512809475,0.9709097608957898,2.5960427989130435,1.6112240064351833,0.9694826489127042,0.015979507675490556,0.7128464922837775,84.58334907280116,177.9972074993316,-2.868783688117172,0.9709097608957898,0.9994847502530982,0.5787618885869564,0.9854014181246419
JPEGXR,53759,3878,43.08073891052838,0.9685411698239089,3.1989427649456523,1.7885588514068114,0.9538575359766097,0.017712485938184933,0.6913888696330638,71.80050982434815,169.44813747502158,-0.5039593386671793,0.9685411698239089,0.9994767503995062,0.6268186707427537,0.9737962817492565
JPEGXL,53759,3986,43.24633390686027,0.9704567686946276,3.0792643229166665,1.7547832694998737,0.9693311226066089,0.01740393919310439,0.7041483582887138,75.38998401142518,172.1293969395731,-2.579584732068893,0.9704567686946276,0.9992064880398611,0.6659802423007246,0.9822532982786677
